latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
62.52485,157.03514,301.29,1.17,1.07,6/17/2024,0:43,T,19,6.1NRT,289.74,2.58,D
63.08851,150.71999,325.63,1.01,1,6/17/2024,0:43,T,78,6.1NRT,293.1,20.99,D
62.9703,136.65927,318.89,2.44,1.51,6/17/2024,0:43,T,78,6.1NRT,293.39,51.61,D
67.39687,165.32402,362.26,1.79,1.31,6/17/2024,0:48,A,100,6.1NRT,302.19,199.38,D
67.36861,165.32681,319.23,1.79,1.31,6/17/2024,0:48,A,44,6.1NRT,298.73,27.39,D
67.38706,165.34079,330.45,1.79,1.31,6/17/2024,0:48,A,60,6.1NRT,300.98,53.91,D
67.39717,165.27324,315.48,1.79,1.31,6/17/2024,0:48,A,23,6.1NRT,295.86,20.02,D
64.47507,156.56494,317.33,4.22,1.9,6/17/2024,0:48,A,76,6.1NRT,292.89,107.03,D
64.46674,156.58635,308.33,4.22,1.9,6/17/2024,0:48,A,47,6.1NRT,291.98,51.65,D
64.47864,156.55821,309.69,4.22,1.9,6/17/2024,0:48,A,64,6.1NRT,292.98,60.17,D
68.81648,168.06949,309.69,1.35,1.15,6/17/2024,0:48,A,31,6.1NRT,297.32,7.18,D
67.40618,165.35735,332.95,1.78,1.31,6/17/2024,0:48,A,46,6.1NRT,297.47,59.68,D
67.3875,165.29057,338.42,1.79,1.31,6/17/2024,0:48,A,67,6.1NRT,299.37,78.45,D
67.40655,165.30679,324.19,1.79,1.31,6/17/2024,0:48,A,75,6.1NRT,294.94,39.89,D
43.70545,144.02446,312.06,1.05,1.02,6/17/2024,0:50,T,28,6.1NRT,299.22,6.88,D
67.35641,145.14119,318.32,4.82,2,6/17/2024,0:50,A,68,6.1NRT,292.68,135.11,D
70.34097,144.2291,302.42,3.14,1.68,6/17/2024,0:50,A,0,6.1NRT,290.93,18.57,D
70.34084,144.23096,302.55,3.14,1.68,6/17/2024,0:50,A,0,6.1NRT,290.81,19.88,D
